id,review_text,sentiment,sentiment_score,tokens,polarity_words
34,"Using this router has been stellar and awesome so far, and it fits perfectly into my office routine.",positive,0.494,using this router has been stellar and awesome so far and it fits perfectly into my office routine,stellar awesome
35,"I found the adapter to be disappointing, unacceptable, and horrible, making everyday use really stressful.",negative,-0.918,i found the adapter to be disappointing unacceptable and horrible making everyday use really stressful,disappointing unacceptable horrible
36,"In short, this tablet is okay; a typical, ordinary option.",neutral,-0.013,in short this tablet is okay; a typical ordinary option,
37,"From unboxing to daily use, this bottle feels outstanding and stellar; think it offers great value.",positive,0.973,from unboxing to daily use this bottle feels outstanding and stellar; think it offers great value,outstanding great
38,"For the cost, this keyboard feels buggy and worst; it's simply not acceptable.",negative,-0.858,for the cost this keyboard feels buggy and worst; it's simply not acceptable,buggy
39,This camera is generally okay; it does the job without standing out.,neutral,-0.084,this camera is generally okay; it does the job without standing out,
40,"This tablet turned out consistently premium, fast, and convenient; I'm super impressed with it.",positive,0.789,this tablet turned out consistently premium fast and convenient; i'm super impressed with it,premium fast
41,"After a few days of use, this router became bad and regret; I regret now.",negative,-0.848,after a few days of use this router became bad and regret; i regret now,bad regret
42,"In short, this mic is moderate; a typical, ordinary option.",neutral,-0.057,in short this mic is moderate; a typical ordinary option,
43,"For the price, this camera is fantastic, beautiful, and perfect; I'd gladly buy it again.",positive,0.77,for the price this camera is fantastic beautiful and perfect; i'd gladly buy it again,fantastic beautiful
44,"In summary, the headphones's overall quality is flimsy, unreliable, and glitchy, making it a terrible choice.",negative,-0.875,in summary the headphones's overall quality is flimsy unreliable and glitchy making it a terrible choice,flimsy unreliable glitchy terrible
45,"From what I've seen, this stand performs in a decent manner without major issues.",neutral,0.037,from what i've seen this stand performs in a decent manner without major issues,
46,"This mic turned out consistently stable, awesome, and elegant; I'm fully satisfied with it.",positive,0.439,this mic turned out consistently stable awesome and elegant; i'm fully satisfied with it,stable awesome
47,"My experience with this case has been ugly and bad, and I wish I had returned it.",negative,-0.733,my experience with this case has been ugly and bad and i wish i had returned it,ugly bad
48,The printer offers a okay balance between design and features.,neutral,0.04,the printer offers a okay balance between design and features,
49,"The overall design and feel of this charger are convenient, amazing, and superb; totally a reliable option.",positive,0.881,the overall design and feel of this charger are convenient amazing and superb; totally a reliable option,convenient amazing reliable
50,"For the cost, this bottle feels terrible, inconsistent, and annoying; it's simply not acceptable.",negative,-0.478,for the cost this bottle feels terrible inconsistent and annoying; it's simply not acceptable,terrible inconsistent
51,Nothing special here: the headphones works in a fine way for daily use.,neutral,0.067,nothing special here: the headphones works in a fine way for daily use,
52,This lamp turned out really handy and love; I'm really glad with it.,positive,0.552,this lamp turned out really handy and love; i'm really glad with it,handy
53,"This mic was a slow, poor, uncomfortable, and frustrating purchase; I honestly am not happy with buying it.",negative,-0.725,this mic was a slow poor uncomfortable and frustrating purchase; i honestly am not happy with buying it,slow poor uncomfortable frustrating happy
54,The mouse offers a fine balance between build quality and reliability.,neutral,0.095,the mouse offers a fine balance between build quality and reliability,
55,"From unboxing to daily use, this headphones feels robust, happy, solid, and delightful; recommend it to friends.",positive,0.96,from unboxing to daily use this headphones feels robust happy solid and delightful; recommend it to friends,robust happy solid recommend
56,This router was a overheating and pathetic purchase; I honestly regret buying it.,negative,-0.6,this router was a overheating and pathetic purchase; i honestly regret buying it,overheating pathetic regret
57,Nothing special here: the backpack works in a average way for daily use.,neutral,0.038,nothing special here: the backpack works in a average way for daily use,
58,"For the price, this charger is user-friendly, wonderful, robust, and intuitive; I'd gladly buy it again.",positive,0.534,for the price this charger is user-friendly wonderful robust and intuitive; i'd gladly buy it again,user-friendly wonderful robust
59,"The keyboard has been terrible and unhappy in almost every way, which is extremely frustrating.",negative,-0.408,the keyboard has been terrible and unhappy in almost every way which is extremely frustrating,terrible unhappy frustrating
60,This speaker is generally decent; it does the job without standing out.,neutral,-0.049,this speaker is generally decent; it does the job without standing out,
61,"The overall design and feel of this tablet are handy, versatile, user-friendly, and high-quality; totally worth it.",positive,0.731,the overall design and feel of this tablet are handy versatile user-friendly and high-quality; totally worth it,handy versatile user-friendly
62,"From the first day, this power bank felt laggy, unreliable, draining, and crashed, and it never improved.",negative,-0.671,from the first day this power bank felt laggy unreliable draining and crashed and it never improved,laggy unreliable draining crashed
63,My experience with this case has been moderate; it's fine for simple tasks.,neutral,-0.001,my experience with this case has been moderate; it's fine for simple tasks,
64,"From unboxing to daily use, this backpack feels affordable, high-quality, powerful, and recommend; recommend it to friends.",positive,0.59,from unboxing to daily use this backpack feels affordable high-quality powerful and recommend; recommend it to friends,affordable high-quality powerful recommend
65,"For the cost, this laptop feels misleading, complicated, laggy, and regret; it's simply not acceptable.",negative,-0.675,for the cost this laptop feels misleading complicated laggy and regret; it's simply not acceptable,misleading complicated laggy
66,"If you just need a standard phone, this one is moderate and fairly straightforward.",neutral,0.033,if you just need a standard phone this one is moderate and fairly straightforward,
67,"As a frequent user, I find this speaker top-notch, great, and elegant, which makes my life more enjoyable.",positive,0.651,as a frequent user i find this speaker top-notch great and elegant which makes my life more enjoyable,top-notch great elegant
68,"After a few days of use, this charger became worthless, fake, and regret; I strongly regret now.",negative,-0.979,after a few days of use this charger became worthless fake and regret; i strongly regret now,worthless fake regret
69,"From what I've seen, this mouse performs in a average manner without major issues.",neutral,0.033,from what i've seen this mouse performs in a average manner without major issues,
70,"The overall design and feel of this phone are solid, flawless, and powerful; totally worth it.",positive,0.713,the overall design and feel of this phone are solid flawless and powerful; totally worth it,solid flawless
71,"The earbuds has been complicated, disgusting, and unacceptable in almost every way, which is extremely annoying.",negative,-0.851,the earbuds has been complicated disgusting and unacceptable in almost every way which is extremely annoying,complicated disgusting unacceptable annoying
72,"Overall, the case feels average; nothing too impressive or too bad.",neutral,-0.102,overall the case feels average; nothing too impressive or too bad,impressive bad
73,The overall overall quality and feel of this earbuds are efficient and brilliant; totally worth it.,positive,0.624,the overall overall quality and feel of this earbuds are efficient and brilliant; totally worth it,efficient
74,"From the first day, this cable felt disgusting, horrible, and inconsistent, and it never improved.",negative,-0.745,from the first day this cable felt disgusting horrible and inconsistent and it never improved,disgusting horrible inconsistent
75,"Overall, the stand feels decent; nothing too impressive or too bad.",neutral,0.025,overall the stand feels decent; nothing too impressive or too bad,impressive bad
76,"If you need a charger, this one is fantastic, fast, and perfect; I a reliable option.",positive,0.584,if you need a charger this one is fantastic fast and perfect; i a reliable option,fantastic fast reliable
77,"If you're thinking of buying this mic, it's annoying and defective; I would can't recommend it.",negative,-0.408,if you're thinking of buying this mic it's annoying and defective; i would can't recommend it,annoying recommend
78,"If you just need a standard keyboard, this one is average and fairly straightforward.",neutral,0.03,if you just need a standard keyboard this one is average and fairly straightforward,
79,The overall display and feel of this tablet are user-friendly and love; totally a reliable option.,positive,0.718,the overall display and feel of this tablet are user-friendly and love; totally a reliable option,user-friendly reliable
80,This printer was a fake and inconsistent purchase; I honestly strongly regret buying it.,negative,-0.847,this printer was a fake and inconsistent purchase; i honestly strongly regret buying it,fake inconsistent regret
81,Nothing special here: the router works in a okay way for daily use.,neutral,0.02,nothing special here: the router works in a okay way for daily use,
82,"For the price, this mic is satisfying and efficient; I'd gladly buy it again.",positive,0.45,for the price this mic is satisfying and efficient; i'd gladly buy it again,satisfying
83,"In summary, the tablet's design is uncomfortable and frustrating, making it a poor choice.",negative,-0.396,in summary the tablet's design is uncomfortable and frustrating making it a poor choice,uncomfortable frustrating poor
84,"For everyday use, this monitor is fine and mostly meets basic expectations.",neutral,0.065,for everyday use this monitor is fine and mostly meets basic expectations,
85,This printer turned out really convenient and fantastic; I'm fully satisfied with it.,positive,0.633,this printer turned out really convenient and fantastic; i'm fully satisfied with it,convenient
86,"In summary, the charger's battery life is worthless, overheating, unreliable, and inconsistent, making it a bad choice.",negative,-0.707,in summary the charger's battery life is worthless overheating unreliable and inconsistent making it a bad choice,worthless overheating unreliable inconsistent bad
87,Nothing special here: the mouse works in a okay way for daily use.,neutral,0.028,nothing special here: the mouse works in a okay way for daily use,
88,"In short, the router's overall quality is handy and impressive, and that alone makes it a solid pick.",positive,0.993,in short the router's overall quality is handy and impressive and that alone makes it a solid pick,handy impressive solid
89,"The fan has been useless and unacceptable in almost every way, which is extremely time-consuming.",negative,-0.544,the fan has been useless and unacceptable in almost every way which is extremely time-consuming,useless unacceptable
90,Nothing special here: the power bank works in a fine way for daily use.,neutral,0.013,nothing special here: the power bank works in a fine way for daily use,
91,"Honestly, I'm fully satisfied with this speaker – comfortable, cool, and flawless, and a joy to use every day.",positive,0.356,honestly i'm fully satisfied with this speaker – comfortable cool and flawless and a joy to use every day,comfortable cool flawless
92,"The overall performance of this case is disappointing, laggy, and trash, and that ruined it for me.",negative,-0.646,the overall performance of this case is disappointing laggy and trash and that ruined it for me,disappointing laggy trash
93,This charger is generally fine; it does the job without standing out.,neutral,-0.056,this charger is generally fine; it does the job without standing out,
94,"As a frequent user, I find this mouse brilliant, efficient, and worthwhile, which makes my life easier.",positive,0.983,as a frequent user i find this mouse brilliant efficient and worthwhile which makes my life easier,brilliant efficient worthwhile
95,"The case has been unreliable and terrible in almost every way, which is extremely stressful.",negative,-0.748,the case has been unreliable and terrible in almost every way which is extremely stressful,unreliable terrible
96,"If you just need a standard keyboard, this one is fine and fairly straightforward.",neutral,0.053,if you just need a standard keyboard this one is fine and fairly straightforward,
97,"I didn't expect much, but this mouse is happy, delightful, incredible, and reliable, so I think it offers great value.",positive,0.797,i didn't expect much but this mouse is happy delightful incredible and reliable so i think it offers great value,happy delightful incredible reliable great
98,"I found the phone to be glitchy, useless, slow, and broken, making everyday use really time-consuming.",negative,-0.576,i found the phone to be glitchy useless slow and broken making everyday use really time-consuming,glitchy useless slow broken
99,My experience with this backpack has been okay; it's fine for simple tasks.,neutral,-0.058,my experience with this backpack has been okay; it's fine for simple tasks,
100,"For the price, this watch is terrific and wonderful; I'd gladly buy it again.",positive,0.598,for the price this watch is terrific and wonderful; i'd gladly buy it again,terrific
101,"After a few days of use, this camera became disappointing and useless; I am not happy with now.",negative,-0.891,after a few days of use this camera became disappointing and useless; i am not happy with now,disappointing happy
102,"From what I've seen, this camera performs in a moderate manner without major issues.",neutral,-0.11,from what i've seen this camera performs in a moderate manner without major issues,
103,"From unboxing to daily use, this speaker feels outstanding and terrific; would pick it again.",positive,0.966,from unboxing to daily use this speaker feels outstanding and terrific; would pick it again,outstanding
104,"My experience with this speaker has been hateful, ridiculous, garbage, and heating, and I wish I had returned it.",negative,-0.48,my experience with this speaker has been hateful ridiculous garbage and heating and i wish i had returned it,hateful ridiculous garbage heating
105,"In short, this cable is fine; a typical, ordinary option.",neutral,0.078,in short this cable is fine; a typical ordinary option,
106,"I didn't expect much, but this laptop is flawless, affordable, recommend, and perfect, so I plan to stick with this brand.",positive,0.511,i didn't expect much but this laptop is flawless affordable recommend and perfect so i plan to stick with this brand,flawless affordable recommend perfect
107,"After a few days of use, this headphones became crashed and flimsy; I regret now.",negative,-0.507,after a few days of use this headphones became crashed and flimsy; i regret now,crashed regret
108,Nothing special here: the fan works in a decent way for daily use.,neutral,0.037,nothing special here: the fan works in a decent way for daily use,
109,"The overall sound and feel of this keyboard are pleased, convenient, premium, and versatile; totally a great deal.",positive,0.95,the overall sound and feel of this keyboard are pleased convenient premium and versatile; totally a great deal,pleased convenient premium great
110,"If you're thinking of buying this fan, it's ridiculous, unhappy, and ugly; I would can't recommend it.",negative,-0.958,if you're thinking of buying this fan it's ridiculous unhappy and ugly; i would can't recommend it,ridiculous unhappy recommend
111,This mouse is generally decent; it does the job without standing out.,neutral,-0.026,this mouse is generally decent; it does the job without standing out,
112,"Using this power bank has been fast and user-friendly so far, and it fits perfectly into my study routine.",positive,0.511,using this power bank has been fast and user-friendly so far and it fits perfectly into my study routine,fast user-friendly
113,"From the first day, this mouse felt frustrating, terrible, disappointing, and heating, and it never improved.",negative,-0.84,from the first day this mouse felt frustrating terrible disappointing and heating and it never improved,frustrating terrible disappointing heating
114,Nothing special here: the power bank works in a average way for daily use.,neutral,0.015,nothing special here: the power bank works in a average way for daily use,
115,"From unboxing to daily use, this headphones feels durable, handy, happy, and top-notch; would pick it again.",positive,0.843,from unboxing to daily use this headphones feels durable handy happy and top-notch; would pick it again,durable handy happy
116,"My experience with this cable has been unacceptable and awful, and I would not buy again.",negative,-0.894,my experience with this cable has been unacceptable and awful and i would not buy again,unacceptable awful
117,My experience with this charger has been decent; it's fine for simple tasks.,neutral,-0.062,my experience with this charger has been decent; it's fine for simple tasks,
118,"Honestly, I'm fully satisfied with this speaker – fast, recommend, high-quality, and cool, and a joy to use every day.",positive,0.425,honestly i'm fully satisfied with this speaker – fast recommend high-quality and cool and a joy to use every day,fast recommend high-quality cool
119,"After a few days of use, this charger became disappointing, slow, flimsy, and unhappy; I strongly regret now.",negative,-0.855,after a few days of use this charger became disappointing slow flimsy and unhappy; i strongly regret now,disappointing slow flimsy regret
120,"In short, this keyboard is decent; a typical, ordinary option.",neutral,-0.097,in short this keyboard is decent; a typical ordinary option,
121,"Using this speaker has been brilliant, convenient, and stellar so far, and it fits perfectly into my gaming routine.",positive,0.852,using this speaker has been brilliant convenient and stellar so far and it fits perfectly into my gaming routine,brilliant convenient stellar
122,"The case has been worthless, ugly, and defective in almost every way, which is extremely annoying.",negative,-0.716,the case has been worthless ugly and defective in almost every way which is extremely annoying,worthless ugly defective annoying
123,"Overall, the laptop feels okay; nothing too impressive or too bad.",neutral,0.096,overall the laptop feels okay; nothing too impressive or too bad,impressive bad
124,"If you need a lamp, this one is fantabulous, amazing, cool, and stable; I a solid pick.",positive,0.755,if you need a lamp this one is fantabulous amazing cool and stable; i a solid pick,fantabulous amazing cool solid
125,"The overall sound of this fan is flimsy and awful, and that ruined it for me.",negative,-0.733,the overall sound of this fan is flimsy and awful and that ruined it for me,flimsy awful
126,"If you just need a standard stand, this one is okay and fairly straightforward.",neutral,-0.09,if you just need a standard stand this one is okay and fairly straightforward,
127,"In short, the adapter's build quality is flawless, solid, fantabulous, and cool, and that alone makes it a solid pick.",positive,0.479,in short the adapter's build quality is flawless solid fantabulous and cool and that alone makes it a solid pick,flawless solid fantabulous cool solid
128,"After a few days of use, this speaker became worst and garbage; I hate now.",negative,-0.545,after a few days of use this speaker became worst and garbage; i hate now,worst
129,The router offers a decent balance between design and features.,neutral,0.041,the router offers a decent balance between design and features,
130,"This mic turned out consistently terrific, outstanding, premium, and powerful; I'm fully satisfied with it.",positive,0.978,this mic turned out consistently terrific outstanding premium and powerful; i'm fully satisfied with it,terrific outstanding premium
131,"The overall sound of this tablet is worthless and worst, and that ruined it for me.",negative,-0.911,the overall sound of this tablet is worthless and worst and that ruined it for me,worthless worst
132,My experience with this adapter has been moderate; it's fine for simple tasks.,neutral,0.06,my experience with this adapter has been moderate; it's fine for simple tasks,
133,"This earbuds turned out honestly responsive, perfect, and valuable; I'm fully satisfied with it.",positive,0.492,this earbuds turned out honestly responsive perfect and valuable; i'm fully satisfied with it,responsive perfect
134,"The overall build quality of this adapter is mediocre and laggy, and that ruined it for me.",negative,-0.466,the overall build quality of this adapter is mediocre and laggy and that ruined it for me,mediocre laggy
135,"For everyday use, this camera is okay and mostly meets basic expectations.",neutral,-0.05,for everyday use this camera is okay and mostly meets basic expectations,
136,"As a frequent user, I find this printer reliable, perfect, and flawless, which makes my life less stressful.",positive,0.35,as a frequent user i find this printer reliable perfect and flawless which makes my life less stressful,reliable perfect flawless
137,"For the cost, this laptop feels draining, dissatisfied, and disappointing; it's simply not acceptable.",negative,-0.472,for the cost this laptop feels draining dissatisfied and disappointing; it's simply not acceptable,draining dissatisfied
138,The mouse offers a moderate balance between performance and durability.,neutral,0.1,the mouse offers a moderate balance between performance and durability,
139,"I didn't expect much, but this earbuds is recommend, intuitive, and terrific, so I feel it was a smart choice.",positive,0.411,i didn't expect much but this earbuds is recommend intuitive and terrific so i feel it was a smart choice,recommend intuitive terrific
140,"From the first day, this case felt heating, defective, ridiculous, and dissatisfied, and it never improved.",negative,-0.87,from the first day this case felt heating defective ridiculous and dissatisfied and it never improved,heating defective ridiculous dissatisfied
141,This router is generally average; it does the job without standing out.,neutral,0.084,this router is generally average; it does the job without standing out,
142,"If you need a backpack, this one is stable, perfect, and impressive; I a great deal.",positive,0.922,if you need a backpack this one is stable perfect and impressive; i a great deal,stable perfect great
143,This monitor was a poor and unacceptable purchase; I honestly am not happy with buying it.,negative,-0.856,this monitor was a poor and unacceptable purchase; i honestly am not happy with buying it,poor unacceptable happy
144,"In short, this lamp is average; a typical, ordinary option.",neutral,-0.037,in short this lamp is average; a typical ordinary option,
145,"I didn't expect much, but this cable is user-friendly, terrific, fantabulous, and smooth, so I plan to stick with this brand.",positive,0.73,i didn't expect much but this cable is user-friendly terrific fantabulous and smooth so i plan to stick with this brand,user-friendly terrific fantabulous smooth
146,"From the first day, this phone felt worst, terrible, mediocre, and draining, and it never improved.",negative,-0.798,from the first day this phone felt worst terrible mediocre and draining and it never improved,worst terrible mediocre draining
147,"For everyday use, this tablet is fine and mostly meets basic expectations.",neutral,0.106,for everyday use this tablet is fine and mostly meets basic expectations,
148,"I didn't expect much, but this camera is great, efficient, amazing, and pleased, so I recommend it to friends.",positive,0.781,i didn't expect much but this camera is great efficient amazing and pleased so i recommend it to friends,great efficient amazing pleased recommend
149,"For the cost, this fan feels hateful, buggy, and pathetic; it's simply not acceptable.",negative,-0.813,for the cost this fan feels hateful buggy and pathetic; it's simply not acceptable,hateful buggy
150,The lamp offers a okay balance between performance and reliability.,neutral,-0.034,the lamp offers a okay balance between performance and reliability,
151,"I didn't expect much, but this headphones is solid and stellar, so I would pick it again.",positive,0.535,i didn't expect much but this headphones is solid and stellar so i would pick it again,solid stellar
152,"In summary, the backpack's battery life is regret and frustrating, making it a unwise choice.",negative,-0.84,in summary the backpack's battery life is regret and frustrating making it a unwise choice,regret frustrating
153,"From what I've seen, this keyboard performs in a okay manner without major issues.",neutral,0.116,from what i've seen this keyboard performs in a okay manner without major issues,
154,"I didn't expect much, but this router is wonderful, elegant, and delightful, so I think it offers great value.",positive,0.425,i didn't expect much but this router is wonderful elegant and delightful so i think it offers great value,wonderful elegant delightful great
155,"After a few days of use, this adapter became frustrating, ridiculous, and fake; I am disappointed about now.",negative,-0.54,after a few days of use this adapter became frustrating ridiculous and fake; i am disappointed about now,frustrating ridiculous
156,"If you just need a standard mic, this one is average and fairly straightforward.",neutral,0.063,if you just need a standard mic this one is average and fairly straightforward,
157,"Using this bottle has been worthwhile, great, and versatile so far, and it fits perfectly into my travel routine.",positive,0.972,using this bottle has been worthwhile great and versatile so far and it fits perfectly into my travel routine,worthwhile great versatile
158,"My experience with this power bank has been laggy and unacceptable, and I suggest avoiding it.",negative,-0.59,my experience with this power bank has been laggy and unacceptable and i suggest avoiding it,laggy unacceptable
159,"Overall, the adapter feels average; nothing too impressive or too bad.",neutral,-0.093,overall the adapter feels average; nothing too impressive or too bad,impressive bad
160,"As a frequent user, I find this adapter durable, stellar, convenient, and great, which makes my life more convenient.",positive,0.769,as a frequent user i find this adapter durable stellar convenient and great which makes my life more convenient,durable stellar convenient great convenient
161,"My experience with this phone has been defective and horrible, and I suggest avoiding it.",negative,-0.776,my experience with this phone has been defective and horrible and i suggest avoiding it,defective horrible
162,My experience with this backpack has been moderate; it's fine for simple tasks.,neutral,-0.09,my experience with this backpack has been moderate; it's fine for simple tasks,
163,"If you need a watch, this one is awesome and cool; I a reliable option.",positive,0.883,if you need a watch this one is awesome and cool; i a reliable option,awesome reliable
164,"I found the camera to be heating and buggy, making everyday use really annoying.",negative,-0.664,i found the camera to be heating and buggy making everyday use really annoying,heating buggy annoying
165,Nothing special here: the headphones works in a average way for daily use.,neutral,0.067,nothing special here: the headphones works in a average way for daily use,
166,"For the price, this tablet is worthwhile, fantabulous, and convenient; I'd gladly buy it again.",positive,0.597,for the price this tablet is worthwhile fantabulous and convenient; i'd gladly buy it again,worthwhile fantabulous
167,"This bottle was a worst, trash, and pathetic purchase; I honestly am disappointed about buying it.",negative,-0.532,this bottle was a worst trash and pathetic purchase; i honestly am disappointed about buying it,worst trash pathetic
168,This fan is generally fine; it does the job without standing out.,neutral,-0.02,this fan is generally fine; it does the job without standing out,
169,"As a frequent user, I find this stand perfect, flawless, delightful, and stellar, which makes my life less stressful.",positive,0.779,as a frequent user i find this stand perfect flawless delightful and stellar which makes my life less stressful,perfect flawless delightful stellar
170,"I found the headphones to be annoying and disgusting, making everyday use really stressful.",negative,-0.69,i found the headphones to be annoying and disgusting making everyday use really stressful,annoying disgusting
171,This keyboard is generally average; it does the job without standing out.,neutral,-0.109,this keyboard is generally average; it does the job without standing out,
172,"Using this headphones has been affordable and elegant so far, and it fits perfectly into my study routine.",positive,0.98,using this headphones has been affordable and elegant so far and it fits perfectly into my study routine,affordable elegant
173,"In summary, the backpack's battery life is unacceptable, poor, and annoying, making it a poor choice.",negative,-0.909,in summary the backpack's battery life is unacceptable poor and annoying making it a poor choice,unacceptable poor annoying poor
174,This lamp is generally okay; it does the job without standing out.,neutral,-0.091,this lamp is generally okay; it does the job without standing out,
175,"I didn't expect much, but this printer is incredible and user-friendly, so I think it offers great value.",positive,0.538,i didn't expect much but this printer is incredible and user-friendly so i think it offers great value,incredible user-friendly great
176,"For the cost, this phone feels draining, regret, and noisy; it's simply not acceptable.",negative,-0.594,for the cost this phone feels draining regret and noisy; it's simply not acceptable,draining regret
177,Nothing special here: the watch works in a decent way for daily use.,neutral,-0.108,nothing special here: the watch works in a decent way for daily use,
178,"For the price, this adapter is high-quality, incredible, and wonderful; I'd gladly buy it again.",positive,0.473,for the price this adapter is high-quality incredible and wonderful; i'd gladly buy it again,high-quality incredible
179,"The camera has been heating, pathetic, broken, and overpriced in almost every way, which is extremely annoying.",negative,-0.518,the camera has been heating pathetic broken and overpriced in almost every way which is extremely annoying,heating pathetic broken overpriced annoying
180,"From what I've seen, this bottle performs in a okay manner without major issues.",neutral,-0.084,from what i've seen this bottle performs in a okay manner without major issues,
181,"I didn't expect much, but this phone is valuable, reliable, outstanding, and fantabulous, so I would pick it again.",positive,0.741,i didn't expect much but this phone is valuable reliable outstanding and fantabulous so i would pick it again,valuable reliable outstanding fantabulous
182,"My experience with this earbuds has been misleading, unhappy, and useless, and I suggest avoiding it.",negative,-0.452,my experience with this earbuds has been misleading unhappy and useless and i suggest avoiding it,misleading unhappy useless
183,My experience with this headphones has been okay; it's fine for simple tasks.,neutral,0.039,my experience with this headphones has been okay; it's fine for simple tasks,
